X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20
n1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0
n2 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1
n3 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1
n4 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 1 0
n5 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0
n6 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 1
n7 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1
n8 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1
n9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1
n10 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1
n11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1
n12 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
n13 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0
n14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
n15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1
n16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0
n17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
n18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
