X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20
n1 0 2 4 0 0 6 5 8 3 0 0 0 0 2 8 0 0 0 2 0
n2 0 0 0 0 0 0 1 5 0 1 4 0 0 5 0 6 5 3 0 0
n3 0 0 0 5 5 0 0 0 0 0 1 0 2 0 2 0 0 0 4 0
n4 0 0 0 0 1 0 0 5 2 0 0 0 0 5 0 3 0 0 0 1
n5 0 0 0 0 0 1 6 0 3 0 0 0 0 0 3 4 0 0 4 5
n6 0 0 0 0 0 0 0 2 6 1 0 0 0 8 0 1 7 0 3 5
n7 0 0 0 0 0 0 0 0 0 0 5 7 0 3 0 2 2 0 7 0
n8 0 0 0 0 0 0 0 0 0 0 5 0 2 1 8 4 0 0 2 0
n9 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 0 0 8 4
n10 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 3 0 0 5 0
n11 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 0 0 2 0 5
n12 0 0 0 0 0 0 0 0 0 0 0 0 2 7 7 5 0 1 0 0
n13 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 7 2 3
n14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0
n15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 6
n16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
n17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 6
n18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
