X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 n25 n26 n27 n28 n29 n30
n1 0 7 6 2 4 0 3 8 5 2 0 0 0 3 0 0 0 0 7 5 0 0 0 0 2 0 0 1 0 0
n2 0 0 0 2 3 0 3 5 1 5 5 8 3 5 0 5 0 0 0 0 0 0 5 0 0 2 0 0 0 0
n3 0 0 0 4 0 0 0 1 0 3 0 0 7 8 0 0 7 6 1 2 8 0 0 0 8 0 0 2 1 0
n4 0 0 0 0 0 1 1 0 0 5 0 0 2 3 0 2 0 0 1 0 0 0 0 8 4 0 2 0 0 0
n5 0 0 0 0 0 1 8 8 0 0 4 7 3 0 0 4 0 1 2 2 0 0 8 0 0 0 5 0 0 0
n6 0 0 0 0 0 0 0 8 0 7 0 0 1 7 0 0 3 7 0 0 6 6 0 5 0 7 0 0 3 0
n7 0 0 0 0 0 0 0 0 0 0 0 0 2 7 1 0 7 0 4 5 3 0 2 3 7 2 2 0 6 0
n8 0 0 0 0 0 0 0 0 5 0 1 0 6 1 8 0 0 7 2 3 0 0 7 6 6 7 3 0 7 6
n9 0 0 0 0 0 0 0 0 0 0 0 4 0 0 6 0 4 6 8 0 8 0 0 0 0 5 1 0 8 0
n10 0 0 0 0 0 0 0 0 0 0 5 0 0 0 2 0 5 6 4 5 0 0 6 0 7 0 0 0 8 0
n11 0 0 0 0 0 0 0 0 0 0 0 2 8 0 0 2 1 0 7 8 0 1 6 2 0 3 0 0 2 0
n12 0 0 0 0 0 0 0 0 0 0 0 0 0 4 7 0 5 0 0 0 0 5 8 0 4 0 7 3 0 7
n13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 7 0 0 0 0 0 0 0 5 0 4
n14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 3 0 0 0 2 2 0 0 0 0 1
n15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 4 1 2 0 2 0 0 7 4 4 5
n16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 6 0 0 8 3 3 7 1 0
n17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 8 7 0 0 0 0 0 0 7 0
n18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0
n19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 2 0 0
n20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 5 0 0 0
n22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 0 1 0 0 2 3
n23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 1
n24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 1 0
n25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 3 0
n26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 8
n27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
n28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
n29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
