X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 n25 n26 n27 n28 n29 n30 n31 n32 n33 n34 n35 n36 n37 n38 n39 n40 n41 n42 n43 n44 n45 n46 n47 n48 n49 n50
n1 0 2 0 6 0 0 0 0 0 2 4 5 0 0 0 0 3 7 0 2 1 7 2 0 4 0 0 4 1 0 6 6 6 2 2 3 0 3 8 8 2 5 0 0 7 4 0 4 0 0
n2 0 0 1 0 4 3 0 0 6 0 0 0 5 0 2 0 0 0 6 0 2 0 3 0 0 0 7 0 1 0 1 7 6 0 0 0 0 0 5 0 7 0 7 4 6 2 0 8 6 0
n3 0 0 0 0 0 2 6 8 7 0 2 0 0 3 0 0 4 6 0 0 5 0 0 1 0 0 5 0 2 0 5 0 2 0 0 0 6 7 0 0 0 8 0 1 3 2 0 0 5 0
n4 0 0 0 0 4 0 0 0 0 4 0 0 0 4 0 0 1 5 8 7 7 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 1 0 5 1 5 0 0 6 5 0 7 3 0 1
n5 0 0 0 0 0 0 0 0 7 0 0 0 4 0 6 5 0 0 6 5 6 1 7 0 0 0 6 0 0 0 8 6 0 1 7 5 0 7 0 3 1 0 0 8 3 7 0 0 0 0
n6 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 3 6 0 3 1 0 0 1 7 0 7 6 6 0 3 7 4 0 0 6 0 5 0 0 0 3 0 7 6 0 0 0 0
n7 0 0 0 0 0 0 0 6 2 0 0 6 0 2 3 0 0 0 0 0 0 0 0 4 0 8 0 0 0 3 0 0 2 2 0 4 3 1 3 6 8 4 0 2 0 1 1 0 5 0
n8 0 0 0 0 0 0 0 0 7 3 0 3 4 4 8 1 0 0 5 5 3 0 8 1 1 7 5 5 7 1 0 0 0 0 7 3 4 0 0 0 7 8 8 0 1 6 0 7 1 0
n9 0 0 0 0 0 0 0 0 0 1 6 0 0 1 7 0 0 6 0 2 6 0 0 0 2 0 4 0 0 0 0 6 0 1 4 0 1 4 0 0 0 0 8 5 0 0 8 5 0 0
n10 0 0 0 0 0 0 0 0 0 0 0 7 5 0 8 6 0 6 0 0 0 3 0 0 6 3 0 1 0 1 1 0 0 2 8 0 7 1 0 0 4 6 3 3 0 2 7 0 1 0
n11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 1 0 7 2 0 0 3 0 0 7 7 0 5 0 0 0 1 2 5 0 0 0 6 3 7 0 7 0
n12 0 0 0 0 0 0 0 0 0 0 0 0 8 6 0 4 0 5 3 0 0 8 0 6 0 0 0 2 0 5 0 0 0 0 0 2 5 7 3 0 7 6 8 0 2 0 0 7 0 0
n13 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 0 0 5 2 0 6 8 0 0 0 7 0 0 6 7 8 0 3 0 5 0 0 7 8 0 0 0 0 0 4 0 0 0
n14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 4 0 3 0 0 6 0 6 6 8 0 0 0 8 2 5 5 0 0 0 4 5 0 0 0 1 1 0 3 0
n15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 8 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 7 0 0 2 7 0 1 6 0 6 0 6 0 8
n16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 7 2 0 5 0 0 0 0 3 0 1 0 0 0 0 1 3 7 0 4 0 3 5 0 0 8 0 7 1 8
n17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 6 0 0 3 1 0 0 0 0 4 0 0 0 3 3 0 0 0 5 0 4 2 0 0 6 0 0 5 4 3 0
n18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 3 7 7 0 4 4 0 0 5 2 0 0 6 0 0 0 6 0 0 8 2 3 0 0
