X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20
n1 0 0 0 0 0 0 5 0 0 5 0 0 5 0 8 8 0 0 3 5
n2 0 0 0 7 0 7 2 1 3 0 6 3 3 0 0 0 8 0 0 0
n3 0 0 0 0 6 8 1 4 0 0 6 0 1 0 2 8 6 0 5 0
n4 0 7 0 0 5 8 0 0 0 2 0 5 0 6 0 0 0 0 0 0
n5 0 0 6 5 0 0 6 5 5 2 8 0 6 0 2 0 0 6 0 0
n6 0 7 8 8 0 0 4 5 0 2 4 3 0 0 0 0 0 0 0 0
n7 5 2 1 0 6 4 0 3 0 4 0 7 0 0 0 8 0 7 1 0
n8 0 1 4 0 5 5 3 0 0 4 6 0 0 3 8 0 0 2 0 0
n9 0 3 0 0 5 0 0 0 0 0 1 0 7 5 7 4 3 0 0 0
n10 5 0 0 2 2 2 4 4 0 0 0 5 0 6 0 1 0 0 0 0
n11 0 6 6 0 8 4 0 6 1 0 0 6 3 0 3 4 0 0 0 4
n12 0 3 0 5 0 3 7 0 0 5 6 0 0 8 2 0 0 0 0 6
n13 5 3 1 0 6 0 0 0 7 0 3 0 0 0 5 5 0 8 0 6
n14 0 0 0 6 0 0 0 3 5 6 0 8 0 0 1 6 6 2 8 8
n15 8 0 2 0 2 0 0 8 7 0 3 2 5 1 0 4 0 0 0 0
n16 8 0 8 0 0 0 8 0 4 1 4 0 5 6 4 0 8 0 4 0
n17 0 8 6 0 0 0 0 0 3 0 0 0 0 6 0 8 0 5 4 3
n18 0 0 0 0 6 0 7 2 0 0 0 0 8 2 0 0 5 0 0 0
n19 3 0 5 0 0 0 1 0 0 0 0 0 0 8 0 4 4 0 0 8
n20 5 0 0 0 0 0 0 0 0 0 4 6 6 8 0 0 3 0 8 0
