X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 n25 n26 n27 n28 n29 n30
n1 0 0 5 0 0 0 4 0 0 3 0 0 3 5 8 0 3 0 5 0 3 0 6 0 0 0 3 3 0 0
n2 0 0 0 6 0 2 7 0 0 0 4 0 6 0 1 0 2 8 0 3 6 7 3 3 0 0 8 6 0 0
n3 5 0 0 5 0 0 0 0 4 8 1 0 0 3 8 2 0 1 8 1 7 0 8 8 7 4 1 0 8 0
n4 0 6 5 0 0 0 0 0 0 0 0 5 0 4 5 6 0 0 0 0 0 7 3 0 0 2 0 8 6 0
n5 0 0 0 0 0 0 5 4 0 6 0 0 3 8 2 1 3 0 7 0 0 7 6 5 2 0 7 0 0 0
n6 0 2 0 0 0 0 0 0 0 7 2 1 0 0 0 3 0 7 8 0 4 0 0 0 1 5 1 5 0 0
n7 4 7 0 0 5 0 0 4 3 3 0 5 7 5 1 5 7 0 8 8 2 0 8 0 0 4 0 0 8 0
n8 0 0 0 0 4 0 4 0 0 0 0 2 7 0 2 0 3 0 0 7 4 4 3 0 0 0 1 7 0 0
n9 0 0 4 0 0 0 3 0 0 0 0 0 8 5 3 7 8 0 0 1 0 0 2 0 7 0 0 6 0 0
n10 3 0 8 0 6 7 3 0 0 0 0 0 0 0 0 8 3 0 2 7 0 4 0 0 0 8 4 3 0 0
n11 0 4 1 0 0 2 0 0 0 0 0 0 0 3 2 0 0 3 7 6 0 0 0 1 8 8 5 0 0 8
n12 0 0 0 5 0 1 5 2 0 0 0 0 6 0 3 0 0 0 1 7 2 4 0 0 0 5 8 2 0 1
n13 3 6 0 0 3 0 7 7 8 0 0 6 0 1 0 2 0 0 0 0 0 0 0 4 5 0 0 1 0 8
n14 5 0 3 4 8 0 5 0 5 0 3 0 1 0 0 2 0 0 0 6 0 1 0 5 0 0 7 0 8 0
n15 8 1 8 5 2 0 1 2 3 0 2 3 0 0 0 0 8 0 0 0 7 0 0 0 0 8 0 2 0 0
n16 0 0 2 6 1 3 5 0 7 8 0 0 2 2 0 0 1 0 0 1 0 7 1 0 7 6 0 2 7 0
n17 3 2 0 0 3 0 7 3 8 3 0 0 0 0 8 1 0 0 2 0 0 0 0 2 7 0 0 0 0 0
n18 0 8 1 0 0 7 0 0 0 0 3 0 0 0 0 0 0 0 0 7 0 0 7 2 1 0 0 8 6 0
n19 5 0 8 0 7 8 8 0 0 2 7 1 0 0 0 0 2 0 0 2 0 0 0 7 4 0 2 0 0 0
n20 0 3 1 0 0 0 8 7 1 7 6 7 0 6 0 1 0 7 2 0 0 8 0 0 0 0 0 0 3 0
n21 3 6 7 0 0 4 2 4 0 0 0 2 0 0 7 0 0 0 0 0 0 0 6 5 0 6 8 1 4 0
n22 0 7 0 7 7 0 0 4 0 4 0 4 0 1 0 7 0 0 0 8 0 0 4 4 0 0 0 2 0 2
n23 6 3 8 3 6 0 8 3 2 0 0 0 0 0 0 1 0 7 0 0 6 4 0 7 0 0 0 0 6 0
n24 0 3 8 0 5 0 0 0 0 0 1 0 4 5 0 0 2 2 7 0 5 4 7 0 0 0 0 0 7 0
n25 0 0 7 0 2 1 0 0 7 0 8 0 5 0 0 7 7 1 4 0 0 0 0 0 0 0 7 3 2 0
n26 0 0 4 2 0 5 4 0 0 8 8 5 0 0 8 6 0 0 0 0 6 0 0 0 0 0 8 2 0 0
n27 3 8 1 0 7 1 0 1 0 4 5 8 0 7 0 0 0 0 2 0 8 0 0 0 7 8 0 0 1 2
n28 3 6 0 8 0 5 0 7 6 3 0 2 1 0 2 2 0 8 0 0 1 2 0 0 3 2 0 0 8 0
n29 0 0 8 6 0 0 8 0 0 0 0 0 0 8 0 7 0 6 0 3 4 0 6 7 2 0 1 8 0 0
n30 0 0 0 0 0 0 0 0 0 0 8 1 8 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0
