X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 n25 n26 n27 n28 n29 n30 n31 n32 n33 n34 n35 n36 n37 n38 n39 n40 n41 n42 n43 n44 n45 n46 n47 n48 n49 n50
n1 0 3 1 2 0 0 0 1 6 5 0 0 0 1 0 0 2 5 5 4 7 5 4 2 0 0 0 8 7 8 0 0 4 3 0 0 0 0 0 3 0 0 0 1 4 4 0 0 0 2
n2 3 0 0 1 0 6 0 5 0 0 0 8 6 5 0 2 0 0 2 4 6 3 0 0 0 5 0 4 0 0 1 0 6 0 8 0 4 0 6 0 0 0 8 8 8 1 0 0 7 4
n3 1 0 0 0 4 0 7 0 6 0 0 0 0 0 8 0 0 0 0 5 6 8 0 7 1 3 2 0 3 0 0 0 0 1 5 0 1 0 0 7 0 0 0 0 8 0 0 0 0 0
n4 2 1 0 0 0 8 0 7 0 0 3 3 2 7 0 6 0 1 1 1 0 3 0 1 2 8 0 0 0 1 0 6 0 6 2 5 0 0 0 0 0 0 6 3 0 7 0 7 1 0
n5 0 0 4 0 0 0 5 0 0 6 1 0 0 0 8 0 0 7 6 0 5 7 0 0 6 7 3 1 0 1 0 0 8 0 0 0 0 0 5 0 0 4 8 0 1 1 3 0 3 4
n6 0 6 0 8 0 0 0 0 5 7 0 0 7 1 5 0 7 0 4 0 0 0 5 1 5 0 1 8 8 2 7 2 0 6 0 6 4 8 6 0 0 3 8 0 0 0 0 0 0 0
n7 0 0 7 0 5 0 0 4 0 7 0 4 3 0 8 4 4 4 0 0 0 5 0 7 8 0 0 0 0 0 0 2 0 0 0 5 7 3 0 8 2 0 5 3 0 0 5 0 0 0
n8 1 5 0 7 0 0 4 0 0 0 3 1 6 4 0 0 0 0 6 6 8 0 5 6 0 0 5 0 4 0 0 0 7 0 0 6 4 4 0 0 4 0 0 6 0 2 0 0 0 0
n9 6 0 6 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 3 5 0 0 6 0 6 4 0 5 6 0 6 5 0 0 0 3 0 7 2 0 6 0 2 0 5 7 0 0 4 0
n10 5 0 0 0 6 7 7 0 0 0 0 0 7 0 4 0 4 0 0 2 7 7 0 7 0 1 0 2 0 3 2 6 2 3 2 0 2 0 6 4 2 0 0 1 0 0 0 0 6 3
n11 0 0 0 3 1 0 0 3 5 0 0 0 0 1 1 0 3 7 2 6 0 5 3 7 4 0 7 0 0 0 4 6 0 0 7 0 2 1 6 2 0 7 0 0 5 0 5 4 4 0
n12 0 8 0 3 0 0 4 1 0 0 0 0 0 3 5 0 0 5 5 2 0 0 4 0 2 1 2 0 1 0 4 0 0 7 0 4 0 0 0 0 6 8 0 4 0 4 1 0 0 8
n13 0 6 0 2 0 7 3 6 0 7 0 0 0 0 0 0 5 0 0 6 7 0 4 0 5 0 8 4 3 2 0 0 0 4 2 7 8 1 0 0 0 0 0 7 1 8 0 0 0 0
n14 1 5 0 7 0 1 0 4 0 0 1 3 0 0 0 5 5 3 1 0 7 0 0 4 0 0 5 5 0 1 0 7 0 0 8 3 3 5 0 0 0 0 3 2 0 4 5 1 0 0
